"case","code","img_small","por","rrp","sub_cat_code","temperature","wsp"
"6","255989","https://media.booker.co.uk/1/060b40f0-1e5a-4698-a410-ea73ce79ee12.jpg","","","CS13_200440","Frozen"," 30.99"
"","255993","https://media.booker.co.uk/1/060b40f0-1e5a-4698-a410-ea73ce79ee12.jpg","","","CS13_200440","Frozen"," 5.19"
"","283467","https://media.booker.co.uk/1/ce92bb76-40fa-45d7-a19c-1188fbc2fc1c.jpg","","","CS13_200440","Frozen"," 15.99"
"","281546","https://media.booker.co.uk/1/08d17d58-d041-437e-8948-8c0da0f23aa4.jpg","","","CS13_200440","Frozen"," 9.75"
"","385161","https://media.booker.co.uk/1/ef5beab1-6677-4fb0-ae4f-c988751ef2d6.jpg","","","CS13_200440","Frozen"," 14.29"
"","281542","https://media.booker.co.uk/1/24bf0ae5-55e5-462b-b7c0-feb074a2c17d.jpg","","","CS13_200440","Frozen"," 11.99"
"","281544","https://media.booker.co.uk/1/8ff3f86c-feff-425e-8d6c-28dd79b84bd5.jpg","","","CS13_200440","Frozen"," 8.69"
"","281548","https://media.booker.co.uk/1/f166250e-d770-4391-b373-256bc657e49f.jpg","","","CS13_200440","Frozen"," 16.79"
"","274566","https://media.booker.co.uk/1/60aa5b07-5cad-4574-ab8e-429ca5d296e9.jpg","","","CS13_200440","Frozen"," 5.69"
"","147703","https://media.booker.co.uk/1/7ed756dc-46cc-47af-aa43-13f0b4057260.jpg","","","CS13_200440","Frozen"," 10.25"
"10","255997","https://media.booker.co.uk/1/027d1a5c-5802-4edc-b61e-7795ca0c0b10.jpg","","","CS13_200440","Frozen"," 73.89"
"","255998","https://media.booker.co.uk/1/027d1a5c-5802-4edc-b61e-7795ca0c0b10.jpg","","","CS13_200440","Frozen"," 7.39"
"10","255985","https://media.booker.co.uk/1/f4e10a50-5fbf-4bea-9cd5-4665e4a32cb7.jpg","","","CS13_200440","Frozen"," 73.89"
"","255986","https://media.booker.co.uk/1/f4e10a50-5fbf-4bea-9cd5-4665e4a32cb7.jpg","","","CS13_200440","Frozen"," 7.39"
"","281547","https://media.booker.co.uk/1/d0335e47-51d3-424e-aa55-f6e2e8f750b6.jpg","","","CS13_200440","Frozen"," 19.59"
